use_obstacle,seed,target_x,target_y,obstacle_x,obstacle_y,q1,q2,success_t2,collision_t2,success_t4,collision_t4,success_t6,collision_t6,success_t8,collision_t8,success_t12,collision_t12
1,10109,-0.33571544616415955,0.8723934575975228,0.3052618653459225,-0.7934562915687343,1.4796449632509667,1.8863651217991961,1,0,1,0,1,0,1,0,1,0
1,10110,1.5957149654568086,0.8295064463260758,-0.931858440315426,0.5389622539818469,1.152574775981881,1.4622617384926277,0,0,1,0,1,0,1,0,1,0
1,10111,0.7273130233536037,0.05241183343069416,1.1596696693805817,0.12712449769282325,-2.086988748133008,-2.3983030369438807,1,0,1,0,1,0,1,0,1,0
1,10112,1.0552825898207683,-0.7816318314574237,0.04738781452673726,-0.802523025570402,0.5283441302357742,1.1461760542273036,0,1,0,1,0,1,0,1,0,1
1,10113,0.9043356279589514,-1.1936650396847903,0.5622498252251564,-0.2996214778095702,-1.5926578786225443,0.8292535683702673,1,0,1,0,1,0,1,0,1,0
1,10114,0.4069404786941383,-0.8514978278410269,-0.10150168125507292,0.7691204456057111,2.7283066957120212,1.9874319029660175,1,0,1,0,1,0,1,0,1,0
1,10115,0.7123329499166601,1.4992273128610853,1.1127329051725132,0.17944778044835674,-0.11497432596045082,-1.6784381108255313,0,1,0,1,0,1,0,1,0,1
1,10116,1.6789828888639655,0.5286588927772308,0.5518725168709394,-0.6623800620735538,-1.3028435424897198,-1.0777071476449023,0,1,0,1,0,1,0,1,0,1
1,10117,0.5117858060736209,-1.6818808893680135,-0.22069852542731921,-0.7221342042875337,1.8142366273009942,1.1003564901689566,0,1,0,1,0,1,0,1,0,1
1,10118,-1.2889120953071296,0.09394727987217849,0.9029423519332493,0.5886916546041626,2.1738612890814797,-0.0955824023043017,1,0,1,0,1,0,1,0,1,0
1,10119,1.238717129391664,0.44746717612410997,0.5838450582298551,-0.708255266134332,-1.950279340133826,0.053124215603321256,0,1,0,1,0,1,0,1,0,1
1,10120,1.1958223387504177,-0.21117938227873315,0.3988165952990346,-0.4741224126740924,0.8522247466144304,-2.133054832417172,1,0,1,0,1,0,1,0,1,0
1,10121,1.2791603799608662,0.28413651993099814,0.1488016549606819,1.1849108156981167,2.3572962726303746,1.0828917450312976,0,1,0,1,0,1,0,1,0,1
1,10122,-0.6188020093970541,-1.67094235006234,-0.6381748598123074,0.7025990326422802,-0.3412001120006392,0.928018325884642,0,0,0,0,0,0,1,0,1,0
1,10123,-0.4809413366176958,-0.2688806468402916,0.3336543916347417,-0.5396392081949374,-2.4639474293828916,2.171304638645473,1,0,1,0,1,0,1,0,1,0
1,10124,0.6321593339226144,-1.6186937780332162,-0.2580444615369349,-0.8772963815490036,-2.2552806847595117,-1.1450282604638384,0,1,0,1,0,1,0,1,0,1
1,10125,1.0177848542685557,-1.0570139992234189,-0.7639557281256181,0.0011394172121714462,2.3627748412390654,1.7564690724069694,0,1,0,1,0,1,0,1,0,1
1,10126,1.7695428800820021,-0.294458368156283,0.07929405644556747,-1.1236740576504538,1.336516366938556,-1.0757725114121186,0,0,1,0,1,0,1,0,1,0
1,10127,-1.2866752344313401,1.3236927523559927,0.680953800479818,-0.35355349336371555,-1.1477627839946765,1.8284606113797301,0,1,0,1,0,1,0,1,0,1
1,10128,-0.6376866955307238,-1.2055217770616489,0.4208710350676999,-1.0972331017351702,2.491000527379947,1.1997552739060287,1,0,1,0,1,0,1,0,1,0
1,10129,-1.0112506892990567,-0.1332106672800861,0.5431082223335632,0.49965779831225776,2.6130008112228107,0.38456388864449687,1,0,1,0,1,0,1,0,1,0
1,10130,-0.0057724165008732715,0.48328175476332247,0.5807992226726119,0.48741441156389753,-1.3213167685313367,1.0978998448096877,0,1,0,1,0,1,0,1,0,1
1,10131,1.8134363799475646,-0.2020318515481193,0.7082246035445688,0.1496345673047835,-1.4338103303144718,-0.354137395423883,0,1,0,0,1,0,1,0,1,0
1,10132,1.2809811201983072,-0.28362871304500437,0.043286184741030076,-0.6243824068143552,0.09307906343204757,1.4924846037005335,0,1,0,1,0,1,0,1,0,1
1,10133,0.6494249623298618,0.649018040885924,-0.4738028630667492,0.9968436686910749,-1.974983115112784,0.8079612309471118,0,0,1,0,1,0,1,0,1,0
1,10134,-1.3802034926506024,0.16765889248927598,0.266121700245002,-0.9151290052198917,1.0244121843270197,-2.0983255169348425,0,1,0,1,0,0,1,0,1,0
1,10135,-1.1781007489393533,-0.5967034359917343,0.5064768100449928,-0.5398917183706499,-2.5420748027924174,-0.3538559500442706,1,0,1,0,1,0,1,0,1,0
1,10136,-0.017522684594564682,1.287335094744965,-0.6984530787451565,-0.33965133228260025,-1.0521285750887495,-1.6144171664760583,0,1,0,1,0,1,0,1,0,1
1,10137,-0.35019773033848606,-0.8395440291959051,0.9243711470925886,-0.15290654274465032,-2.5597268610649957,-0.6954277680838256,1,0,1,0,1,0,1,0,1,0
1,10138,-1.0276906626131082,0.20117855015630035,0.5815572491040806,-0.6340576330244134,2.0650834408867964,2.09861582959853,1,0,1,0,1,0,1,0,1,0
1,10139,0.07244565401597029,1.2481932097821002,-0.35822367847372966,-0.76910929633083,-0.8182261507932811,2.042677600877643,1,0,1,0,1,0,1,0,1,0
1,10140,-0.1334395447657189,1.3380844071026194,0.27427757607601194,-0.6596706551223084,-2.5676354245484285,-1.0629157352180785,0,0,1,0,1,0,1,0,1,0
1,10141,-1.1409303769341061,1.0249221284589967,-0.994253389388326,0.6336241099227148,-0.4467160651143778,-1.878129115786138,0,1,0,1,0,1,0,1,0,1
